country_name,country_qid,substation,label,type,latitude,longitude
Australia,Q408,http://www.wikidata.org/entity/Q29020126,Lockrose,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020120,Kearneys Spring,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020063,Stafford,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020127,Warwick,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020045,Palmwoods,electrical substation,-26.7069349,152.9370717
Australia,Q408,http://www.wikidata.org/entity/Q29020054,Blackwall substation,electrical substation,-27.541388888,152.785833333
Australia,Q408,http://www.wikidata.org/entity/Q29020059,Nudgee,electrical substation,-27.39,153.083055555
Australia,Q408,http://www.wikidata.org/entity/Q29020085,Fairview West,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020132,Milton,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020140,Wellington Road,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020035,Callide A Power Station,electrical substation,-24.3345432,150.628162
Australia,Q408,http://www.wikidata.org/entity/Q29020042,Moura,electrical substation,-24.5140298,150.0655577
Australia,Q408,http://www.wikidata.org/entity/Q29020139,Ann Street,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020041,Biloela,electrical substation,-24.5015934,150.5078716
Australia,Q408,http://www.wikidata.org/entity/Q29020051,Halys,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020036,Teebar Creek,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020083,Clifford Creek,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020108,Tennyson,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020039,Callide B Power Station,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020040,Callide C Power Station,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020093,APLNG Orana,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020094,Braemar 2 Power Station,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020095,Braemar Power Station,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020130,Ashgrove West,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020068,Columboola T194,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020069,Columboola H77,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020075,Condamine Power Station,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020079,Condabri Central,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020077,Condabri North,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020080,Condabri South,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020082,Dinoun South,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020056,Hays Inlet,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020096,Darling Downs Power Station,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020087,Fairview South,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020116,Daadine,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020052,Mt England,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020081,Kogan Creek Power Station,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020123,Gatton Bulk Supply,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020098,Kumbarilla Park,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020105,Millmerran Power Station,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020047,Tarong Power Station,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020049,Tarong North Power Station,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020114,Oakey GT Power Station,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020053,Wivvenhoe Power Station,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020091,Wandoan South,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020089,Woleebee Creek,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020118,Tangkam,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020134,SSQRT,electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020135,SSMST,electrical substation,,
