country,countryLabel,count
http://www.wikidata.org/entity/Q148,People's Republic of China,43
http://www.wikidata.org/entity/Q17,Japan,43
http://www.wikidata.org/entity/Q30,United States,42
http://www.wikidata.org/entity/Q183,Germany,41
http://www.wikidata.org/entity/Q40,Austria,35
http://www.wikidata.org/entity/Q38,Italy,23
http://www.wikidata.org/entity/Q39,Switzerland,22
http://www.wikidata.org/entity/Q29,Spain,19
http://www.wikidata.org/entity/Q142,France,11
http://www.wikidata.org/entity/Q45,Portugal,9
http://www.wikidata.org/entity/Q668,India,8
http://www.wikidata.org/entity/Q408,Australia,8
http://www.wikidata.org/entity/Q884,South Korea,8
http://www.wikidata.org/entity/Q20,Norway,7
http://www.wikidata.org/entity/Q145,United Kingdom,6
http://www.wikidata.org/entity/Q36,Poland,5
http://www.wikidata.org/entity/Q212,Ukraine,4
http://www.wikidata.org/entity/Q213,Czech Republic,4
http://www.wikidata.org/entity/Q258,South Africa,4
http://www.wikidata.org/entity/Q219,Bulgaria,4
http://www.wikidata.org/entity/Q214,Slovakia,4
http://www.wikidata.org/entity/Q159,Russia,3
http://www.wikidata.org/entity/Q869,Thailand,3
http://www.wikidata.org/entity/Q34,Sweden,3
http://www.wikidata.org/entity/Q31,Belgium,2
http://www.wikidata.org/entity/Q1028,Morocco,2
http://www.wikidata.org/entity/Q794,Iran,2
http://www.wikidata.org/entity/Q41,Greece,2
http://www.wikidata.org/entity/Q865,Taiwan,2
http://www.wikidata.org/entity/Q218,Romania,2
http://www.wikidata.org/entity/Q215,Slovenia,2
http://www.wikidata.org/entity/Q414,Argentina,2
http://www.wikidata.org/entity/Q32,Luxembourg,1
http://www.wikidata.org/entity/Q37,Lithuania,1
http://www.wikidata.org/entity/Q224,Croatia,1
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,1
http://www.wikidata.org/entity/Q27,Ireland,1
http://www.wikidata.org/entity/Q347,Liechtenstein,1
http://www.wikidata.org/entity/Q79,Egypt,1
http://www.wikidata.org/entity/Q801,Israel,1
http://www.wikidata.org/entity/Q854,Sri Lanka,1
http://www.wikidata.org/entity/Q252,Indonesia,1
http://www.wikidata.org/entity/Q403,Serbia,1
